Node,Metric,Mean,Median,Standard Deviation
21,closeness,0.042230243360023456,0.020053785494922982,0.026989269041526404
21,clustering,0.003058354776790506,0.0005570377659931403,0.002585039067369701
21,degree,0.9257382445269755,0.6359265152118638,0.6420048954609912
22,closeness,0.016347700224948802,0.015052798287895186,0.0152855384630841
22,clustering,0.0018737804231837574,0.0020474816417056507,0.0010795975092408004
22,degree,0.43219627353695955,0.9662049779278448,0.8032768771721983
23,closeness,0.0469722617342514,0.0492945147529853,0.0499464195087229
23,clustering,0.0006481075126848479,0.005369588975572492,0.005498591873137299
23,degree,0.7725310825662248,0.8728755938578274,0.6551882064863963
24,closeness,0.09190003549732073,0.06341299183416593,0.06814275038256051
24,clustering,0.010558597061326336,0.009475886348715767,0.0027120992212077005
24,degree,0.8353913190828735,0.39101775627388236,0.2920804380930324
25,closeness,0.030181980108191953,0.0012771519941094933,0.0815800616842602
25,clustering,0.010051654224363382,0.006603606069568446,0.007934877164330698
25,degree,0.9215415582879984,0.45382161135198373,0.243784782214435
26,closeness,0.05619167040224893,0.035608714116372564,0.10332791012144411
26,clustering,0.014117042349754638,0.01513165091941504,0.004302976867921101
26,degree,1.713624049020268,1.8274267695351796,0.06398879929956047
27,closeness,0.031179527053428746,0.012677435051789532,0.030364894372460483
27,clustering,0.005483596442984906,0.0043951604175018755,0.0016819198384889003
27,degree,0.18641017092039647,0.19918568270362158,0.09945699025164334
28,closeness,0.01490344580218017,0.0014324997390302574,0.033125725987676824
28,clustering,0.0007998075037400909,0.002299745627828642,0.0021059722044798994
28,degree,0.6450711456126896,0.733117068372259,0.07640472580788149
29,closeness,0.01344773470900007,0.006430688202036849,0.0464560119839325
29,clustering,0.012167131163475897,0.008702311856986888,0.0029391856406509997
29,degree,1.6172682662139408,0.831629428157342,0.7467753693087116
30,closeness,0.06508387895517687,0.043634210319605904,0.0489130542248696
30,clustering,0.0162553507761084,0.011113573065195337,0.0035948314050735005
30,degree,2.1119794670509293,1.2702112048235108,0.8133739560163735
31,closeness,0.0557701950119418,0.015293711473461702,0.0376601316145907
31,clustering,0.01327038573912287,0.008403871606473379,0.0018262105705575023
31,degree,1.5032457171724616,1.428519150509075,0.5185574881825419
