Node,Graph,Closeness,Clustering,Degree
3,15,1.8799145863424518,0.5814108187604782,70.49088716061517
3,16,1.8372094583662018,0.5501710824807854,62.84415512776597
3,17,2.422452942599366,0.48669027806978243,55.311318579194335
4,1,1.8730509835561961,0.5513665059703088,65.77383232636119
4,2,1.8628265346037969,0.5431550477133958,63.34981454210513
4,3,1.7254017808215938,0.5778777575020806,68.20380044308283
4,4,2.3494270463805615,0.49761890314734675,58.75485158199931
4,5,2.0591162608290916,0.5285443143360357,62.32214212404104
4,6,1.7648265112888883,0.5726925271654034,67.48887292969609
4,7,1.9263193722629957,0.5573584627127315,66.03181248627094
4,8,2.088741793500472,0.513006342054736,59.321483136264945
4,9,1.7270965990764777,0.5759108745516258,66.82942388285485
4,10,2.082344254549127,0.5318933544966087,62.08485582121407
4,11,1.9539514990252411,0.5496602416282463,64.66653078034781
4,12,2.019826815807503,0.5201376182331516,59.872509539768934
4,13,1.8440207772798378,0.5445784502217949,63.44860318152952
4,14,2.04213934787637,0.5288912439029089,61.62831410895085
4,15,1.883924347003192,0.5807393832176652,70.43789847182752
4,16,1.7935689794777725,0.5699779257674287,66.37537727868634
4,17,2.419946730814671,0.49375855061347645,56.73699541685292
5,1,2.3235794015044795,0.49165587140613193,57.326846830917724
5,2,1.8940618576999322,0.5353440145721148,61.97120721252506
5,3,1.8495888305533685,0.5576756685638901,64.86202499832804
5,4,1.9156720119874115,0.5300355030113076,61.90247355628715
5,5,1.9484248653608984,0.5288035652935035,61.44668765054752
5,6,1.8510970387127172,0.5502605068349812,63.574660561986164
5,7,1.7681890123675972,0.5598644018956037,65.21446348283676
5,8,1.8181483705231531,0.5666715596702598,67.77320362601253
5,9,1.7555855268072234,0.5703081981467556,65.50521079377063
5,10,1.7553044729156146,0.5641091848064342,66.15117665124815
5,11,1.9258585824400616,0.5386497051752694,62.322135572486026
5,12,1.843909251321644,0.5470273912169038,63.94026235026994
5,13,1.8060102780941187,0.5500350885159214,64.1942765722158
5,14,1.7845079069787646,0.5561544873419147,65.13893117729567
5,15,2.143534428772381,0.4939325133033522,55.401070916385976
5,16,1.750731255643821,0.5682641221102744,65.98894524459976
5,17,1.8849848502594406,0.5629942954749374,66.36255136436277
6,1,2.2090389750425525,0.48972382505187007,56.39823097067466
6,2,1.9349570639811768,0.5291645913726557,60.91020358315575
6,3,1.890149958927844,0.551462788642044,63.873519952233124
6,4,2.118968494537303,0.5265637575934746,62.40569265590247
6,5,1.929496897006913,0.5325268083977157,62.03471679394351
6,6,1.7929054268164544,0.5595449944737997,65.01490549860384
6,7,1.8530790312456544,0.5443396981583903,63.00277027570519
6,8,1.8156412805561968,0.561065874641184,66.80082310340774
6,9,1.6596627388443674,0.5922255949360503,69.29118628045791
6,10,1.7592760423019482,0.5630364344339754,65.9028818335926
6,11,1.9737891551933657,0.5372230188204411,62.58934577469727
6,12,1.8712113714586351,0.5485566252067475,64.41173288203213
6,13,1.811886918948649,0.5477101787227806,63.702707186529636
6,14,1.790472856373181,0.5509255887504779,64.25278345045336
6,15,2.124829170130777,0.49730419013386784,55.824913668863346
6,16,1.7023419302069522,0.5794514905297488,67.82191202297447
6,17,1.8745601729694485,0.5566238796474304,65.06079802645392
7,1,1.9289336312847045,0.5570386538228624,67.23581808304854
7,2,1.9492990048524108,0.5418220757148643,63.63721951939284
7,3,1.7066419915346893,0.5809883051846546,68.63899231122622
